X,Y,Z,Activity,,,
0.734,-0.649,0.035,0,,,
0.731,-0.653,0.032,0,,,
0.731,-0.653,0.032,0,,,
0.731,-0.652,0.032,0,,,
0.736,-0.658,0.033,0,,,
0.736,-0.658,0.033,0,,,
0.735,-0.658,0.033,0,,,
0.732,-0.658,0.032,0,,,
0.732,-0.658,0.032,0,,,
0.734,-0.656,0.035,0,,,
0.733,-0.655,0.032,0,,,
0.731,-0.659,0.032,0,,,
0.731,-0.659,0.032,0,,,
0.73,-0.659,0.032,0,,,
0.732,-0.658,0.032,0,,,
0.732,-0.658,0.032,0,,,
0.732,-0.658,0.034,0,,,
0.734,-0.653,0.035,0,,,
0.735,-0.652,0.035,0,,,
0.734,-0.654,0.035,0,,,
0.734,-0.656,0.036,0,,,
